COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,Overall RISK,Rank
Oman,OMN,5,3.2,3.5,0,4.4,3.4,1.7,0,1.2,2.4,1.7,x,0,1.1,0,0.3,0,1.3,0.5,0.3,0.7,x,4.9,4.9,4.7,3.5,5,4.5,4.7,2,153
Paraguay,PRY,0,7.1,0,0,3.8,2.8,2.5,0,1.7,2.3,8.9,6,0.5,6.1,0,0.5,5.9,3.8,3.7,2,4.4,3.7,7.2,5.4,4.6,4.3,5,4.7,5.1,3.7,95
Tunisia,TUN,4,3.9,0,0,3.3,2.4,3.2,0,2.2,2.3,8.4,5.9,2.6,6.3,0,0.3,0,1.7,0.7,0.4,3.9,6.4,5.5,5.9,5.7,3.7,5,4.9,5.4,3.7,97
Palau,PLW,2.9,0,2.3,5,0,2.3,0,0,0,1.2,4.1,x,7.3,5.2,0,x,0,2.3,1.2,0.6,3.2,5.9,6.2,6,x,0.5,6,3,4.7,2.6,134
Syria,SYR,6.2,6,3.5,0,4.8,4.4,9.1,10,10,8.4,8.5,6.3,2.4,6.4,9.6,0.1,0,2.3,0.9,7.1,6.8,4.6,8,6.3,6.1,3.3,6,5,5.7,6.9,9
Tajikistan,TJK,9.5,6,0,0,5.7,5.5,7.2,0,5,5.3,5.4,1.8,2.7,3.8,1.2,0.5,0.1,8,3.9,2.7,3.3,4.6,7.5,6,5.5,5,6,5.3,5.7,4.6,57
Albania,ALB,6.2,4.2,0,0,5.1,3.5,0.2,0,0.1,2,5,2.8,3.4,4,1.7,0.1,2.1,2.7,1.7,1.7,2.9,x,6.3,6.3,5.4,2.6,6,4.6,5.5,3.2,112
Algeria,DZA,5.2,5.8,0,0.8,2.6,3.2,7.7,8,8,6.2,9.8,9.9,0.1,7.4,1.9,0.6,0,0.6,0.4,1.2,5,3.5,6.3,4.9,5.5,4.5,6,5.2,5.1,5.4,31
Saudi Arabia,SAU,2.8,2.3,0,0,3.9,1.9,4.9,0,3.4,2.7,7,10,0,6,2.3,0.6,0,1.1,0.6,1.5,4.1,x,5.1,5.1,4.1,3.3,6,4.4,4.8,3.8,91
El Salvador,SLV,7.4,4.4,9.5,0,2.8,5.9,1.5,0,1,3.9,8.9,5.7,1.1,6.1,0,0.2,0,4,1.6,0.8,4,5.2,5.7,5.4,5.7,4.4,6,5.3,5.4,4.4,69
Equatorial Guinea,GNQ,0,3.4,0,0,1.1,1,0.1,0,0.1,0.5,2.4,x,0.5,1.8,0,6.1,0,1.9,3.1,1.7,1.7,x,8.1,8.1,7.9,6.8,6,6.9,7.6,1.9,156
Botswana,BWA,0,3.9,0,0,6.2,2.5,0.3,0,0.2,1.4,7.5,6.7,1.1,5.7,1.3,2.7,0.2,6.5,3.6,2.5,4.3,4.9,4,4.4,7.8,4.8,6,6.2,5.4,3.2,111
Viet Nam,VNM,3.1,10,8.4,8.5,3.4,7.7,1.7,0,1.2,5.3,7.4,2.7,1.8,4.8,0,1.9,0.1,3.4,1.9,1,3.1,4.4,6.2,5.3,4.6,3.5,6,4.7,5,4.4,70
Jamaica,JAM,6.2,0,0,9.9,0.4,5.1,1.8,0,1.3,3.4,5.9,4.7,0.3,4.2,0,0.2,2,2.8,1.7,0.9,2.7,3.3,5.6,4.5,5.4,1.2,6,4.3,4.4,3.4,101
South Africa,ZAF,0.3,5.3,5,0,4.8,3.4,7.1,0,5,4.3,5.4,6.7,0.6,4.5,0,3.8,0.1,2.4,2.2,1.2,3,x,5,5,5.8,4,6,5.3,5.1,4,83
Grenada,GRD,4.4,0,2.3,7.1,0.7,3.4,0,0,0,1.8,3.1,x,2.2,2.8,0,0.4,0,5.2,2.2,1.2,2,4.7,4.5,4.6,x,0.3,6,3.4,4,2.5,140
Iraq,IRQ,6.6,6.1,0,0,2,3.5,9.5,10,10,8.2,8.7,5.5,1.5,6.1,6.7,0.4,0,5.3,2.2,4.9,5.5,x,7.8,7.8,5.6,4.7,6,5.5,6.8,6.8,10
Seychelles,SYC,0,0,8.8,0,0,3,0,0,0,1.6,1.9,10,6.2,5,0,0.4,7,3,4,2.2,3.7,4,4.5,4.2,6.1,1.2,6,4.6,4.4,3,122
Belize,BLZ,3.4,5.5,0,8.5,0,4.4,0,0,0,2.5,4.1,2.7,2.2,3.3,1.3,0.8,0,2.1,1,1.2,2.3,x,5.4,5.4,x,3.5,7,5,5.2,3.1,116
Malaysia,MYS,4.1,5.7,4.7,0,0.8,3.4,3.2,0,2.3,2.8,6.9,6,0,4.9,2.3,1,0,2.4,1.2,1.8,3.5,2.6,3.9,3.3,4.4,2.6,7,4.5,3.9,3.4,103
Morocco,MAR,2.8,5.7,0,1.1,3.8,2.9,3.1,0,2.2,2.6,9.3,5.6,1.4,6.4,0,1.1,0,1.6,0.9,0.5,4,5.6,5.7,5.7,5.7,5.1,7,5.7,5.7,3.9,88
Saint Kitts and Nevis,KNA,2.9,0,8.4,8.6,0,5.2,0,0,0,3,2.8,x,6,3.9,0,x,0,3.1,1.7,0.9,2.5,4.5,3.2,3.8,x,0.9,7,3.7,3.8,3.1,117
